balavataro
document,section,page,markup,text
Bālāvatāro,1 Saññā,2,text,Byañjanānaṃ kādayo makārattā pañcapañcaso akkharavanto vaggā...Vaggānaṃ
Bālāvatāro,1 Saññā,2,text,"paṭhamadutiyā socāghosā...Āantāññe ghosā...Ghosaghosasaññā ca ""parasamaññāpa yoge"" 'ti"
Bālāvatāro,1 Saññā,2,break,
Bālāvatāro,1 Saññā,2,text,saṅgahītā...Evaṃ liṅgasabbanāmapadausagga
Bālāvatāro,1 Saññā,2,text,nipātataddhitaākhyātakammappavacaniyādisaññā ca.
Bālāvatāro,1 Saññā,2,break,
Bālāvatāro,1 Saññā,2,text,Aṃ iti niggahītaṃ.
Bālāvatāro,1 Saññā,2,break,
Bālāvatāro,1 Saññā,2,text,Aṃ iti akārato paraṃ yo bindu sūyate taṃ niggahītannāma.
Bālāvatāro,1 Saññā,2,break,
Bālāvatāro,1 Saññā,2,text,"Bindu cūḷāmaṇākāro niggahītaṃ 'ti vuccate,"
Bālāvatāro,1 Saññā,2,text,Kevalassāppayogattā akāro sannidhīyate.
Bālāvatāro,1 Saññā,2,break,
Bālāvatāro,1 Saññā,2,text,Akavaggahā kaṇṭhajā...Icavaggayā tālujā...Upavaggā oṭṭhajā... avaggaraḷā muddhajā...
Bālāvatāro,1 Saññā,2,text,Tavaggalasā dantajā...E kaṇṭhatālujo...O kaṇṭhoṭṭhajo...Vo dantoṭṭhajo.
Bālāvatāro,1 Saññā,2,break,
Bālāvatāro,1 Saññā,2,endsection,Saññā.
Bālāvatāro,1 Saññā,2,break,
Bālāvatāro,2 Sarasandhi,2,section,2
Bālāvatāro,2 Sarasandhi,2,break,
Bālāvatāro,2 Sarasandhi,2,text,Loka aggo ityasmiṃ.
Bālāvatāro,2 Sarasandhi,2,break,
Bālāvatāro,2 Sarasandhi,2,text,"""Pubbamadhoṭhitamassaraṃ sarena viyojaye"" 'ti pubbabyañjanaṃ sarato puthakkātabbaṃ."
Bālāvatāro,2 Sarasandhi,2,break,
Bālāvatāro,2 Sarasandhi,2,text,Sarā sare lopaṃ.
Bālāvatāro,2 Sarasandhi,2,break,
Bālāvatāro,2 Sarasandhi,2,text,Anantare sare pare sarā lopaṃ papponti.
Bālāvatāro,2 Sarasandhi,2,break,
Bālāvatāro,2 Sarasandhi,2,text,"""Naye paraṃ yutte"" 'ti assaro byañjano parakkharaṃ netabbo...Lokaggo."
Bālāvatāro,2 Sarasandhi,2,break,
Bālāvatāro,2 Sarasandhi,2,text,Sare'tyasmiṃ opasilesikokāsasattamī tato vaṇṇa kālavyavadhāne kāriyaṃ na hoti-yathā-maṃ
Bālāvatāro,2 Sarasandhi,2,text,ahāsīti-pamādamanu yuñjantītyādigāthāyaṃ-janā appamādaṃ'ti ca.
Bālāvatāro,2 Sarasandhi,2,break,
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Eṃ sabbasandhisu.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Anantaraṃ parassa sarassa lopaṃ cakkhati tasmānena pubbassa lopo ñāyati teneva
Bālāvatāro,2 Sarasandhi,3,text,sattamīniddiṭṭhassa paratāpi gamyate.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Sare'tyādhikāro.
Bālāvatāro,2 Sarasandhi,3,text,Pana ime pana ime'tīha.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Sarā lopaṃ itveva.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Vā paro asarūpā.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Asamānarūpā saramhā paro saro vā lupyate...Paname panime.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Bandhussa iva na upetītīdha.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Kvacāsavaṇṇaṃ lutte
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Sare lutte parasarassa kvaci asavaṇṇo hotīti i u iccetesaṃ ṭhānāsantā e o... Bandhusseva
Bālāvatāro,2 Sarasandhi,3,text,nopeti.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Tatra ayaṃ yāni idha bahu upakāraṃ saddhā idha tathā upamaṃ 'tye tasmiṃ. [^2]
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Dīghaṃ.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Sare lutte paro saro kvavi ṭhānāsattaṃ dīghaṃ yāti. Tatrāyaṃ yānīdha bahūpakāraṃ
Bālāvatāro,2 Sarasandhi,3,text,saddhīdha tathūpamaṃ.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Kiṃsu idhenyatra.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Pubbo ca.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Sare lutte pubbo ca kvavi dīghaṃ yāti...Kiṃsūdha.
Bālāvatāro,2 Sarasandhi,3,text,Te ajja te ahaṃ 'tettha.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Yamedantassādeso.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,text,Sare pare antassa ekārassa kvaciyo ādesohoti...Tyajja.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,3,footnote,[^2]:  Te'tasmiṃ.
Bālāvatāro,2 Sarasandhi,3,break,
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,"""Dīghaṃ"" 'ti byañjane pare kvaci dīgho; tyāhaṃ."
Bālāvatāro,2 Sarasandhi,4,text,"Kvacīti kiṃ, nettha."
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,So assa au etītyattha.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Vamodudantānaṃ.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,"Sare pare antokārukārāṃ kvaci vo ādeso hoti. Svassa anveti; kvacīti kiṃ, tayassu"
Bālāvatāro,2 Sarasandhi,4,text,sametāyasmā.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Idha ahaṃ'tīdha.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Do dhassa ca.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Sare pare dhassa kvaci do hoti.
Bālāvatāro,2 Sarasandhi,4,text,"Dīghe-idāhaṃ; kvacīti kiṃ, idheva; cakārenana byañjane'pi, ida bhikkhave."
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Pati attaṃ vutti assetīha.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Ivaṇṇo yaṃ navā.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Sare pare ivaṇṇassa yo navā hoti.
Bālāvatāro,2 Sarasandhi,4,text,"Katayakārassa tissa ""sabbo caṃ tī"" 'ti kvaci cādese."
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,"""Paradvebhāvo ṭhāne"" 'ti patissa paṭi; vaṇṇaggahaṇaṃ sabbattha rassadīghasaṅgahatthaṃ."
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Yathā evetīha.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Evādissari pubbo ca rasso.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Sarato parassa evassādi ekāro rittaṃ navā yāti pubbo ca ṭhānāsannaṃ rassaṃ...Yathariva
Bālāvatāro,2 Sarasandhi,4,text,yatheva.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Na imassa ti aṅgikaṃ lahu essati atta atthaṃ ito āyati tasmā iha sabhi eva cha abhiññā putha
Bālāvatāro,2 Sarasandhi,4,text,eva pā evetīha.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,4,text,Vātveva.
Bālāvatāro,2 Sarasandhi,4,break,
Bālāvatāro,2 Sarasandhi,5,break,
Bālāvatāro,2 Sarasandhi,5,text,Yavamadanataraḷā cāgamā.
Bālāvatāro,2 Sarasandhi,5,break,
Bālāvatāro,2 Sarasandhi,5,text,Sare pare yādayo āgamā vā honti cakārena go ca.
Bālāvatāro,2 Sarasandhi,5,text,Yimassa tivaṅgikaṃ lahumessati attadatthaṃ itoyati tasmātiha sabbhireva chaḷabhiññā
Bālāvatāro,2 Sarasandhi,5,break,
Bālāvatāro,2 Sarasandhi,5,text,puthageva.
Bālāvatāro,2 Sarasandhi,5,break,
Bālāvatāro,2 Sarasandhi,5,text,"""Rassaṃ"" 'ti byañja pare kvaci rasso, pageva. Vāti kiṃ, cha abhiññā puthaeva pāeva... Ettha"
Bālāvatāro,2 Sarasandhi,5,text,'sare kvacī' 'ti sarānanaṃ pakati hoti sassarūpameva na vikāro tyattho.
Bālāvatāro,2 Sarasandhi,5,break,
Bālāvatāro,2 Sarasandhi,5,text,Abhi uggato 'tyatra.
Bālāvatāro,2 Sarasandhi,5,break,
Bālāvatāro,2 Sarasandhi,5,text,"""Abbho abhī"" ti abhissa abbho-abbhuggato."
Bālāvatāro,2 Sarasandhi,5,break,
Bālāvatāro,2 Sarasandhi,5,endsection,Sarasandhi.
Bālāvatāro,2 Sarasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,5,section,3
Bālāvatāro,3 Byañjanasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,5,text,Byañjane'tyadhikāro.
Bālāvatāro,3 Byañjanasandhi,5,text,Kvacītveva.
Bālāvatāro,3 Byañjanasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,5,text,So bhikkhu kaccinu tvaṃ jānema taṃ tīha.
Bālāvatāro,3 Byañjanasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,5,text,Lopañca tatrākāro.
Bālāvatāro,3 Byañjanasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,5,text,Byañjane pare sarānaṃ kvaci lopo hoti tatra lutte ṭhānena akārāgamo cakārena
Bālāvatāro,3 Byañjanasandhi,5,text,"okārukārāpi...Sabhikkhu kaccī notvaṃ jānemu taṃ, kvacīti kiṃ, so muni."
Bālāvatāro,3 Byañjanasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,5,text,U ghoso ā khātaṃ 'tīha.
Bālāvatāro,3 Byañjanasandhi,5,text,Dvebhāvo ṭhāne itveva.
Bālāvatāro,3 Byañjanasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,5,text,Vagge ghosāghosānaṃ tatiyapaṭhamā.
Bālāvatāro,3 Byañjanasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,5,text,Vaggo ghosāghosānaṃ catutthadutiyānaṃ tabbagge tatiya paṭhamā yathāsaṅkhyaṃ yutte
Bālāvatāro,3 Byañjanasandhi,5,text,ṭhāne cittaṃ yanti.
Bālāvatāro,3 Byañjanasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,5,text,Ugghoso; rasse-akkhātaṃ.
Bālāvatāro,3 Byañjanasandhi,5,text,Para sahassaṃ atippa kho 'tīha.
Bālāvatāro,3 Byañjanasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,5,text,"""Kvaci o byañjane"" 'ti okāragamo. Parosahassaṃ; gāgame ca-atippagodho."
Bālāvatāro,3 Byañjanasandhi,5,break,
Bālāvatāro,3 Byañjanasandhi,6,break,
Bālāvatāro,3 Byañjanasandhi,6,text,Ava naddhā 'tyatra.
Bālāvatāro,3 Byañjanasandhi,6,break,
Bālāvatāro,3 Byañjanasandhi,6,text,"""O avasse"" 'ti kvaci avassa o."
Bālāvatāro,3 Byañjanasandhi,6,break,
Bālāvatāro,3 Byañjanasandhi,6,text,"Onaddhā; kvaciti kiṃ, avasussatu."
Bālāvatāro,3 Byañjanasandhi,6,break,
Bālāvatāro,3 Byañjanasandhi,6,endsection,Byañjanasandhi.
Bālāvatāro,3 Byañjanasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,section,4
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Niggahītaṃ 'tyadhikāro.
Bālāvatāro,4 Niggahītasandhi,6,text,Kiṃ kato saṃ jāto saṃ ṭhito taṃ dhanaṃ taṃ mittaṃ 'tīha.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Vaggantaṃ vā vagge.
Bālāvatāro,4 Niggahītasandhi,6,text,Vaggabyañjane pare bindussa tabbagganto vā hoti.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,"Kiṅkato sañjāto saṇṭhito tandhanaṃ tammittaṃ...Vāti kiṃ, na taṃ kammaṃ."
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Vākāreneva le lo ca; pulliṅgaṃ.
Bālāvatāro,4 Niggahītasandhi,6,text,Vā'tyadhikāro.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Evaṃ assa etaṃ avocetīha.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Madā sare.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,"Sare pare binduno madā vā honti...Evamassa etada voca; vāti kiṃ, maṃ ajina."
Bālāvatāro,4 Niggahītasandhi,6,text,Taṃ eva taṃ hi'tīha.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Eheññaṃ.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Ekāre ha ca pare binduno ño vāhoti...Cittetaññeva tame va tañhi taṃ hi.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Saṃyogo 'tīha.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Sayeca.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Yakāre pare tena saha binduno ño vā hoti...Dvītte-saññogo saṃyogo.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,6,text,Cakkhu aniccaṃ ava sirotīha.
Bālāvatāro,4 Niggahītasandhi,6,text,Āgamo kvacitvevā.
Bālāvatāro,4 Niggahītasandhi,6,break,
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,Niggahītañca.
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,Sare byañjane vā pare kvaci binvāgamo hoti.
Bālāvatāro,4 Niggahītasandhi,7,text,Cakkhuṃaniccaṃ avaṃsiro.
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,Vidunaṃ aggaṃ tāsaṃ ahaṃ 'tīha.
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,"""Kvaci lopaṃ"" 'ti sare bindulopo."
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,Vidūnaggaṃ; dīghe-tāsāhaṃ.
Bālāvatāro,4 Niggahītasandhi,7,text,Buddhānaṃ sāsanaṃ saṃ rāgo 'tiha.
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,"Byañjanece"" 'ti bindulopo...Buddhāna sāsanaṃ; dīghe-sārāgo."
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,Bījaṃ ivetīha.
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,Paro vā saro.
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,Binduto paro saro vā lupyate...Bījaṃva.
Bālāvatāro,4 Niggahītasandhi,7,text,Evaṃ assetīha.
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,Byañjano ca visaññogo.
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,text,Binduto pare sare lutte saṃyogo byañjano vinaṭṭha saṃyogo hotīti pubbasalopo...Evaṃsa.
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,4 Niggahītasandhi,7,endsection,Niggahītasandhi.
Bālāvatāro,4 Niggahītasandhi,7,break,
Bālāvatāro,5 Vomissakasandhi,7,section,5
Bālāvatāro,5 Vomissakasandhi,7,break,
Bālāvatāro,5 Vomissakasandhi,7,text,Anupadiṭṭhānaṃ vuttayogato.
Bālāvatāro,5 Vomissakasandhi,7,break,
Bālāvatāro,5 Vomissakasandhi,7,text,Idhāniddiṭṭhā sandhayo vuttānusārena ñeyyā...Yathā-yadi evaṃ bodhi aṅgā'tīha.
Bālāvatāro,5 Vomissakasandhi,7,break,
Bālāvatāro,5 Vomissakasandhi,7,text,Yādese iminā suttena dayakārasaṃyogassa jo dhaya kārasaṃyogassa jho; citte-yajjevaṃ
Bālāvatāro,5 Vomissakasandhi,7,text,bojjhaṅgā.
Bālāvatāro,5 Vomissakasandhi,7,break,
Bālāvatāro,5 Vomissakasandhi,7,text,Asadisasaṃyoge ekasarūpatā ca; pariphasanā'tīha-yādese rakārassa yo-payyesanā.
Bālāvatāro,5 Vomissakasandhi,7,break,
Bālāvatāro,5 Vomissakasandhi,7,text,Vaṇṇākaṃ bahuttaṃ viparīttā ca.
Bālāvatāro,5 Vomissakasandhi,7,break,
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,Sa rati iti evaṃ sā itthi busā eva bahu ābādho adhi abhavi sukhaṃ dukkhaṃ jīvo'tīha.
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,"Māgamo sakāre akārassa u ca, sumarati; issa vo, itve vaṃ; paralope ākārassa o, sotthi;"
Bālāvatāro,5 Vomissakasandhi,8,text,"māgame pubbarasse ca ekārassa i, busamiva; vādese havakāravipariyayo, bavhābādho;"
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,"adhissa kvaci addho, dīghe-addhābhavi; binduno okārassa ca e, sukhe dukkhe jīve; radānaṃ"
Bālāvatāro,5 Vomissakasandhi,8,text,"ḷo, paḷibodho pariḷāho."
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,"Sare byañjane vā pare binduno kvaci mo, mamahāsi buddham saraṇam; pubbe mo paraṃ na"
Bālāvatāro,5 Vomissakasandhi,8,text,netabbo ayuttattā.
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,"Binduto parasarānamaññassaratāpi...Taṃ iminā evaṃ imaṃ kiṃ ahaṃ'tīha...Issa a, tadaminā;"
Bālāvatāro,5 Vomissakasandhi,8,text,"issa u akārassa ca e, bindu lopādo-evumaṃ kehaṃ."
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,Vākyasukhuccāraṇatthaṃ chandahānitthañca vaṇṇalopo'pi.
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,"Paṭisaṅkhāyayoniso'tīha, pubbayalopo-paṭisaṅkhā yoniso."
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,"Alāputyādo akāralopo, lāpūni sīdanti silā plavanti."
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,"Vutyabhedāya vikāro'pi, akaramhasete 'tyādo sakāre garunoekārassa iminālahu"
Bālāvatāro,5 Vomissakasandhi,8,text,akāro...Akarambhasate kiccaṃ.
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,"Akkharaniyamo chandaṃ-garulahuniyamo bhave vutti,"
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,Dīgho saṃyogādi-pubbo rasso ca garu lahu tu rasso.
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,Yathā-ā assa aṃ a.
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,Evamaññāpi viññeyyā saṃhitā tantiyā hitā.
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,text,Saṃhitā'ti ca vaṇṇātaṃ sannidhabyavadhānato.
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,5 Vomissakasandhi,8,endsection,Vomissakasandhi.
Bālāvatāro,5 Vomissakasandhi,8,break,
Bālāvatāro,6 Pulliṅgā,8,section,6
Bālāvatāro,6 Pulliṅgā,8,break,
Bālāvatāro,6 Pulliṅgā,8,text,"""Jinavacanayuttaṃ hī"" 'ti sabbatthādhikāro."
Bālāvatāro,6 Pulliṅgā,8,text,Liṅgañca nipaccate.
Bālāvatāro,6 Pulliṅgā,8,break,
Bālāvatāro,6 Pulliṅgā,8,text,Dhātuppaccasavibhattivajjitamatthapunnaṃ saddarūpaṃ liṅgā nāma.
Bālāvatāro,6 Pulliṅgā,8,break,
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,Jinavacanayoggaṃ liṅgaṃ idha ṭhapīyati nippādiyati ca.
Bālāvatāro,6 Pulliṅgā,9,text,Buddha iti ṭhite.
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,Tato ca vibhattiyo.
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,Tasmā liṅgā parā vibhattiyo honti cakārena tāsaṃ eka vacanādipaṭhamādi saññā ca.
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,"""Siyoaṃyonāhisanaṃsmāhi sanaṃsmiṃsū"" 'ti vibhattiyo."
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,"Si yo iti paṭhamā, aṃ yo iti dutiyā, nā hi iti tatiyā, sa naṃ iti catutthi, smā hi iti pañcamī, sa"
Bālāvatāro,6 Pulliṅgā,9,text,"naṃ iti chaṭṭhī, smiṃ su iti sattamī."
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,Tāsamaniyamappasaṅge vatticchāvasā.
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,Liṅgatthe paṭhamā.
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,Yo kammakattādivatthantaramappatto sassarūpaṭṭho suddho so lihattho nāma...
Bālāvatāro,6 Pulliṅgā,9,text,"Tassābhidhānamatte paṭhamāvibhatti hoti-tassāpaniyame, ekamhi vattabbe ekavacanaṃ si."
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,Vuccatenenetī vacanaṃ ekassatthassa vacanaṃ ekavacanaṃ; evaṃ bahuvacanaṃ.
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,Atotveva.
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,So.
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,Akārantā parassa sissa o hoti.
Bālāvatāro,6 Pulliṅgā,9,break,
Bālāvatāro,6 Pulliṅgā,9,text,Saralopo mādesappaccayādimhi saralope tu pakati.
Bālāvatāro,6 Pulliṅgā,9,break,
